n,b,c,time_ns,time_us
10000,0.5,0.0,312042625.0,312042.625
10000,0.5,0.5,311970250.0,311970.25
10000,0.5,1.0,312048395.0,312048.395
10000,0.5,2.0,311993948.0,311993.948
10000,1.0,0.0,1865116.0,1865.116
10000,1.0,0.5,1872530.0,1872.53
10000,1.0,1.0,1919977.0,1919.977
10000,1.0,2.0,2101167.0,2101.167
10000,5.0,0.0,9154321.0,9154.321
10000,5.0,0.5,9202056.0,9202.056
10000,5.0,1.0,9402052.0,9402.052
10000,5.0,2.0,10306559.0,10306.559
10000,10.0,0.0,18261255.0,18261.255
10000,10.0,0.5,18352611.0,18352.611
10000,10.0,1.0,18766799.0,18766.799
10000,10.0,2.0,20584205.0,20584.205
